epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.119,1.81025,3.75537,2.8305,1.66682,0.10828,0.17458,0.07354,0.03146,0.09627,0.15301,0.05209,0.01785,2.09118,3.77044,2.93588,1.94362,0.000473839,0.000473839,0.000473839
2,144.158,1.79042,3.43694,2.41056,1.65401,0.13806,0.16738,0.0877,0.03587,0.11469,0.1561,0.07085,0.02392,2.10052,3.89636,2.65804,1.91643,0.000940766,0.000940766,0.000940766
3,208.849,1.78337,3.4309,2.34842,1.65062,0.13022,0.19939,0.08542,0.0332,0.09344,0.15257,0.0589,0.01826,2.11828,3.75949,2.69671,2.04185,0.00139826,0.00139826,0.00139826
4,275.484,1.74706,3.36028,2.28085,1.6245,0.45516,0.16713,0.08564,0.03516,0.44824,0.1547,0.07315,0.0259,2.01482,3.58145,2.65736,1.84488,0.00138656,0.00138656,0.00138656
5,341.232,1.70155,3.25694,2.22286,1.59711,0.26498,0.24265,0.15537,0.06611,0.22673,0.23933,0.13579,0.0452,1.95917,3.43554,2.42648,1.80716,0.00137241,0.00137241,0.00137241
6,404.21,1.67608,3.21669,2.14474,1.58245,0.50885,0.22343,0.1647,0.07666,0.48848,0.19879,0.13655,0.05296,1.89912,3.41346,2.40297,1.77688,0.00135826,0.00135826,0.00135826
7,472.023,1.64906,3.13028,2.1049,1.55373,0.23958,0.25349,0.17199,0.0854,0.23909,0.22304,0.1555,0.06538,1.88307,3.3061,2.38541,1.75182,0.00134412,0.00134412,0.00134412
8,536.424,1.64597,3.12656,2.05959,1.54555,0.28363,0.24355,0.18181,0.08171,0.26484,0.21722,0.15841,0.0569,1.89488,3.30114,2.34616,1.77789,0.00132997,0.00132997,0.00132997
9,604.169,1.60611,3.04627,2.00162,1.51756,0.25725,0.24981,0.17446,0.07931,0.24396,0.23056,0.15577,0.0549,1.88278,3.2535,2.38046,1.74302,0.00131582,0.00131582,0.00131582
10,671.837,1.58149,2.99925,1.94734,1.51264,0.25261,0.26477,0.19182,0.08902,0.25239,0.26376,0.17721,0.06712,1.83451,3.25526,2.30356,1.72889,0.00130168,0.00130168,0.00130168
11,736.701,1.55896,2.94483,1.8967,1.49165,0.29579,0.28447,0.21433,0.10137,0.25986,0.2652,0.18886,0.06984,1.86586,3.29861,2.21467,1.70925,0.00128753,0.00128753,0.00128753
12,804.364,1.55618,2.90089,1.84573,1.46986,0.28276,0.31544,0.21906,0.10871,0.2956,0.29869,0.21427,0.08001,1.80506,3.18454,2.18205,1.70113,0.00127338,0.00127338,0.00127338
13,870.102,1.5241,2.87681,1.81827,1.46008,0.30993,0.27643,0.22289,0.10543,0.30798,0.2655,0.2031,0.07823,1.80723,3.14961,2.22676,1.70101,0.00125923,0.00125923,0.00125923
14,936.838,1.52634,2.88872,1.79098,1.45661,0.3197,0.29294,0.23043,0.11448,0.32294,0.29244,0.22019,0.08446,1.79197,3.12116,2.17963,1.68347,0.00124509,0.00124509,0.00124509
15,1004.78,1.49394,2.8445,1.75327,1.43185,0.34956,0.26727,0.22677,0.11812,0.32474,0.24918,0.20831,0.08216,1.79468,3.14369,2.25287,1.70389,0.00123094,0.00123094,0.00123094
